INFO:root:Дата: 2020-08-30 |Время: 18:09:18.267122 |ID: 02f92e66-eac2-11ea-9440-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 18:10:31.154122 |ID: 2e6b01e6-eac2-11ea-885c-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 18:10:58.125122 |ID: 3e7e7496-eac2-11ea-b244-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 18:12:55.387122 |ID: 84633776-eac2-11ea-9ffb-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 18:15:57.690122 |ID: f10c7266-eac2-11ea-97fc-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 18:16:33.419122 |ID: 06584276-eac3-11ea-a593-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 18:17:03.193122 |ID: 18174246-eac3-11ea-a0be-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 18:18:53.409122 |ID: 59c909d6-eac3-11ea-bc26-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 18:27:21.445122 |ID: 88990706-eac4-11ea-b257-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 18:29:24.833122 |ID: d224b1d6-eac4-11ea-838a-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 18:35:00.566122 |ID: 9a417c26-eac5-11ea-8bcd-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 21:52:39.413201 |ID: 36adf22e-eae1-11ea-9c13-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 22:01:39.251001 |ID: 78728131-eae2-11ea-aed1-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 22:09:34.972401 |ID: 93fffb73-eae3-11ea-a9d8-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
INFO:root:Дата: 2020-08-30 |Время: 22:10:30.254401 |ID: b4f35893-eae3-11ea-8e50-540dfb410a0e |Результат: человек |Номер телефона: 88000000000 |Длительность разговора: 2.996 |Результат распознования: алло говорите |
